"state","abbrev","region","sample_count"
"Pará","PA","North",1022
"São Paulo","SP","Southeast",998
"Rio Grande do Norte","RN","North",282
"Paraná","PR","South",281
"Rio de Janeiro","RJ","Southeast",262
"Santa Catarina","SC","South",194
"Rio Grande do Sul","RS","South",82
"Amapá","AP","North",21
"Bahia","BA","Northeast",15
"Sergipe","SE","Northeast",5
"Ceará","CE","Northeast",3
"Pernambuco","PE","Northeast",3
"Alagoas","AL","Northeast",2
"Espirito Santo","ES","Southeast",1
"Maranhão","MA","Northeast",1
